,taxon_name,marine
517,Bopyrus squillarum,True
518,Borago officinalis,False
519,Borkhausenia minutella,False
520,Bornetia secundiflora,True
521,Bornia sebetia,True
522,Bosellia levis,True
523,Bosellia mimetica,True
524,Bosemprella incarnata,True
525,Bothus podas,True
526,Botrylloides,True
527,Botrylloides crystallinus,True
528,Botryllus schlosseri,True
529,Botryocladia botryoides,True
530,Brachycarpus biunguiculatus,True
531,Brachychiton populneus,False
532,Brachyscelus crusculum,True
533,Braconidae,False
534,Branchellion torpedinis,True
535,Branchiomma bairdi,True
536,Branchiomma bombyx,True
537,Branchiomma luctuosum,True
538,Branchiostoma lanceolatum,True
539,Branta leucopsis,False
540,Brassicaceae,True
541,Brintesia circe,False
542,Brissus unicolor,True
543,Brithys crini,False
544,Bromus diandrus,False
545,Bryonia cretica,False
546,Bryopa aperta,True
547,Bryophila domestica,False
548,Bryophila vandalusiae,False
549,Bryopsis duplex,True
550,Bryopsis mucosa,False
551,Bryopsis muscosa,True
552,Bryopsis plumosa,True
553,Bubalus bubalis,False
554,Bubo bubo,False
555,Bubulcus ibis,False
556,Bucephala islandica,False
557,Buddleja davidii,False
558,Bufo spinosus,False
559,Buglossidium luteum,True
560,Bugula neritina,True
561,Bugulina calathus,True
562,Bugulina flabellata,True
563,Bugulina stolonifera,True
564,Bugulina turbinata,True
565,Bulgaria inquinans,False
566,Bulla mabillei,True
567,Bulla striata,True
568,Bunodeopsis strumosa,True
569,Bupleurum fruticosum,False
570,Buprestis octoguttata,False
571,Bursatella leachii,True
572,Buteo buteo,False
573,Buteo polyosoma,False
574,Butomus umbellatus,False
575,Butorides striata,True
576,Buxus sempervirens,False
577,Caberea boryi,True
578,Cabestana cutacea,True
579,Cacoecimorpha pronubana,False
580,Cacyreus marshalli,False
581,Cadlina laevis,True
582,Cadlina pellucida,True
583,Caecum auriculatum,True
584,Caecum imperforatum,True
585,Caenocoris nerii,False
586,Caesalpinia gilliesii,False
587,Caesalpinia spinosa,False
588,Cairina moschata,False
589,Cairina moschata domestica,False
590,Cakile maritima,True
591,Calameuta pygmaea,False
592,Calappa granulata,True
593,Calappa tuerkayana,True
594,Calcinus tubularis,True
595,Calendula officinalis,False
596,Calicotome spinosa,False
597,Calicotome villosa,False
598,Calidris alba,True
599,Calidris alpina,True
600,Calidris bairdii,True
601,Calidris fuscicollis,True
602,Calidris minutilla,True
603,Calidris pusilla,True
604,Caliphylla mediterranea,True
605,Caliphylla viridis,True
606,Calliactis parasitica,True
607,Callianira bialata,True
608,Callinectes sapidus,True
609,Callionymus,True
610,Callionymus lyra,True
611,Callionymus pusillus,True
612,Callionymus risso,True
613,Calliopaea bellula,True
614,Calliostoma conulus,True
615,Calliostoma laugieri,True
616,Calliostoma zizyphinum,True
617,Calliphora vomitoria,False
618,Calliptamus barbarus,False
619,Callista chione,True
620,Callistemon speciosus,False
621,Callistoctopus macropus,True
622,Callithamnion,True
623,Callochiton septemvalvis,True
624,Callophrys avis,False
625,Callophrys rubi,False
626,Calluna vulgaris,False
627,Calma glaucoides,True
628,Calma gobioophaga,True
629,Caloplaca flavescens,False
630,Caloplaca saxicola,False
631,Caloplaca teicholyta,False
632,Calopteryx haemorrhoidalis,False
633,Calopteryx xanthostoma,False
634,Caloria elegans,True
635,Caloria quatrefagesi,True
636,Calpensia nobilis,True
637,Caltha palustris,False
638,Calyptraea chinensis,True
639,Calystegia sepium,False
640,Calystegia soldanella,False
641,Calyx nicaeensis,True
642,Camachoaglaja africana,True
643,Campanula erinus,False
644,Campanula persicifolia,False
645,Campanula scheuchzeri,False
646,Campanula trachelium,False
647,Campanularia,True
648,Campephilus magellanicus,False
649,Camponotus cruentatus,False
650,Camponotus lateralis,False
651,Camponotus piceus,False
652,Camptopus lateralis,False
653,Campyloneura virgula,False
654,Cancer pagurus,True
655,Candelabrum cocksii,True
656,Canis lupus familiaris,False
657,Canthidermis sufflamen,True
658,Canthigaster capistrata,True
659,Capellinia doriae,True
660,Capparis spinosa,False
661,Capra pyrenaica,False
662,Caprella,True
663,Caprella linearis,True
664,Capreolus capreolus,False
665,Caprimulgus europaeus,False
666,Capsella bursa-pastoris,False
667,Caracara plancus,False
668,Caranx crysos,True
669,Carapus acus,True
670,Carcharodus alceae,False
671,Carcinus maenas,True
672,Cardamine heptaphylla,False
673,Cardiidae,True
674,Cardiophorus biguttatus,False
675,Cardites antiquatus,True
676,Carduelis carduelis,False
677,Carduelis citrinella,False
678,Carduelis spinus,False
679,Carex pendula,False
680,Carijoa riisei,True
681,Carinaria lamarckii,True
682,Carlina acaulis,False
683,Carminodoris boucheti,True
684,Carpobrotus edulis,False
685,Carpocoris mediterraneus,False
686,Carpocoris mediterraneus atlanticus,False
687,Carpocoris pudicus,False
688,Carrhotus xanthogramma,False
689,Carybdea marsupialis,True
690,Caryophyllia inornata,True
691,Caryophyllia smithii,True
692,Cassida viridis,False
693,Cassida vittata,False
694,Catalpa bignonioides,False
695,Catananche caerulea,False
696,Cathartes aura,False
697,Catocala elocata,False
698,Catocala nymphagoga,False
699,Catriona maua,True
700,Caulerpa cylindracea,True
701,Caulerpa mexicana,True
702,Caulerpa prolifera,True
703,Caulerpa webbiana,True
704,Cavernularia pusilla,True
705,Cavolinia inflexa,True
706,Cavolinia tridentata,True
707,Cedrus,False
708,Cedrus libani,False
709,Celastrina argiolus,False
710,Cellaria fistulosa,True
711,Cellaria salicornioides,True
712,Cellepora pumicosa,True
713,Celtis australis,False
714,Celypha lacunana,False
715,Cenchrus echinatus,False
716,Centaurea,False
717,Centaurea aspera,False
718,Centaurea calcitrapa,False
719,Centranthus ruber,False
720,Centrocoris spiniger,False
721,Centrolabrus melanocercus,True
722,Centrolabrus trutta,True
723,Centrolophus niger,True
724,Centrostephanus longispinus,True
725,Centrotus cornutus,False
726,Cephalanthera longifolia,False
727,Cephalothrix linearis,True
728,Cepphis advenaria,False
729,Ceradocus,True
730,Cerambycidae,False
731,Cerambyx scopolii,False
732,Ceramium,True
733,Cerastium glomeratum,False
734,Cerastoderma edule,True
735,Ceratonia siliqua,False
736,Cerberilla bernadettae,True
737,Cercis siliquastrum,False
738,Cercopis intermedia,False
739,Cerebratulus marginatus,True
740,Cereopsis novaehollandiae,False
741,Cereus pedunculatus,True
742,Cerianthus lloydii,True
743,Cerianthus membranaceus,True
744,Cerithium vulgatum,True
745,Cernuella virgata,False
746,Ceroplastes sinensis,False
747,Certallum ebulinum,False
748,Certhia brachydactyla,False
749,Certhia familiaris,False
750,Cerura iberica,False
751,Cervus elaphus,False
752,Cervus nippon,False
753,Cestopagurus timidus,True
754,Cestoplana rubrocincta,True
755,Cestum veneris,True
756,Cetonia aurata,False
757,Cetoscarus bicolor,True
758,Cettia cetti,False
759,Chaenorhinum origanifolium,False
760,Chaetaster longipes,True
761,Chaetodon auriga,True
762,Chaetodon fremblii,True
763,Chaetodon kleinii,True
764,Chaetodon litus,True
765,Chaetodon lunula,True
766,Chaetodon melannotus,True
767,Chaetodon meyeri,True
768,Chaetodon ornatissimus,True
769,Chaetodon trifasciatus,True
770,Chaetodon unimaculatus,True
771,Chaetodon xanthocephalus,True
772,Chaetomorpha aerea,True
773,Chaetomorpha linum,True
774,Chaetopterus variopedatus,True
775,Chalcolestes viridis,False
776,Chama gryphoides,True
777,Chamaeleo calyptratus,False
778,Chamaerops humilis,False
779,Chamelea gallina,True
780,Chamelea striatula,True
781,Chamerion latifolium,False
782,Champia parvula,True
783,Charadrius alexandrinus,True
784,Charadrius alticola,True
785,Charadrius dubius,True
786,Charadrius falklandicus,True
787,Charadrius hiaticula,True
788,Charadrius modestus,True
789,Charaxes jasius,False
790,Charonia lampas,True
791,Charonia variegata,True
792,Chartella papyracea,True
793,Chauvetia brunnea,True
794,Chauvetia mamillata,True
795,Cheilinus trilobatus,True
796,Chelidonichthys lastoviza,True
797,Chelidonichthys lucerna,True
798,Chelidonichthys obscurus,True
799,Chelon auratus,True
800,Chelon labrosus,True
801,Chelon ramada,True
802,Chelonaplysilla noevus,True
803,Chelonia mydas,True
804,Chelophyes appendiculata,True
805,Chenopodium,False
806,Chiasmia aestimaria,False
807,Chiasmia clathrata,False
808,Chiliadenus glutinosus,False
809,Chilocorus bipustulatus,False
810,Chilomycterus atringa,True
811,Chionis alba,False
812,Chiton,True
813,Chiton canariensis,True
814,Chlamys distorta,True
815,Chlidonia pyriformis,True
816,Chlidonias hybrida,True
817,Chlidonias leucopterus,True
818,Chlidonias niger,True
819,Chloeia venusta,True
820,Chloephaga hybrida,True
821,Chloephaga picta,False
822,Chloephaga rubidiceps,False
823,Chloris chloris,False
824,Chlorissa viridata,False
825,Chloroceryle amazona,True
826,Chloromyia formosa,False
827,Chlorophorus varius,False
828,Chlorophytum comosum,False
829,Chlorurus sordidus,True
830,Chondracanthus acicularis,True
831,Chondrilla juncea,False
832,Chondrosia reniformis,True
833,Chordata,True
834,Choreutis nemorana,False
835,Chorizopora brongniartii,True
836,Chorthippus jacobsi,False
837,Chroicocephalus novaehollandiae,False
838,Chroicocephalus ridibundus,True
839,Chroicocephalus serranus,False
840,Chromis chromis,True
841,Chromis limbata,True
842,Chromis viridis,True
843,Chromogobius quadrivittatus,True
844,Chromogobius zebratus,True
845,Chroogomphus rutilus,False
846,Chrysaora hysoscella,True
847,Chrysodeixis chalcites,False
